,FLIGHT,DISTANCE,CRS_ELAPSED_TIME
0,DFW|DTW|AA,986.0,158.0
26,DTW|DFW|AA,986.0,191.0
57,SEA|JFK|AA,2422.0,317.0
88,JFK|SEA|AA,2422.0,385.0
119,SJC|ORD|AA,1829.0,258.0
122,ORD|SJC|AA,1829.0,284.0
153,PHX|DFW|AA,868.0,148.0
184,STL|DFW|AA,550.0,120.0
210,DFW|STL|AA,550.0,97.0
239,LAX|DCA|AA,2311.0,295.0
270,ORD|TPA|AA,1012.0,159.0
301,MCO|ORD|AA,1005.0,183.0
332,DEN|MIA|AA,1709.0,236.0
363,MIA|DEN|AA,1709.0,271.0
394,KOA|LAX|AA,2504.0,311.0
425,LAX|KOA|AA,2504.0,358.0
457,DFW|MIA|AA,1121.0,165.0
487,MIA|DFW|AA,1121.0,196.0
517,IAH|MIA|AA,964.0,142.0
521,MIA|IAH|AA,964.0,178.0
552,MIA|JFK|AA,1089.0,170.0
583,JFK|MIA|AA,1089.0,204.0
614,AUS|JFK|AA,1521.0,215.0
644,JFK|AUS|AA,1521.0,262.0
674,LAX|MIA|AA,2342.0,294.0
705,MIA|LAX|AA,2342.0,357.0
736,LAS|DFW|AA,1055.0,165.0
767,DFW|LAS|AA,1055.0,182.0
798,LAX|LAS|AA,236.0,77.0
825,LAS|LAX|AA,236.0,78.0
856,JFK|MCO|AA,944.0,186.0
887,MCO|JFK|AA,944.0,153.0
918,SLC|DFW|AA,989.0,158.0
949,DFW|SLC|AA,989.0,170.0
980,TUS|DFW|AA,813.0,129.0
1000,JFK|STT|AA,1623.0,241.0
1001,STT|JFK|AA,1623.0,264.0
1013,BOS|ORD|AA,867.0,189.0
1043,ORD|BOS|AA,867.0,130.0
1070,BOS|JFK|AA,187.0,78.0
1074,JFK|BOS|AA,187.0,78.0
1109,LAX|BOS|AA,2611.0,323.0
1140,DFW|FLL|AA,1119.0,158.0
1161,FLL|DFW|AA,1119.0,201.0
1162,BOS|LAX|AA,2611.0,402.0
1166,MCO|DFW|AA,985.0,184.0
1255,SFO|MIA|AA,2585.0,328.0
1286,LAX|SFO|AA,337.0,84.0
1316,SFO|LAX|AA,337.0,88.0
