,AIRPORT_ID,CODE,CITY,STATE
0,11298,DFW,Dallas/Fort Worth, TX
26,11433,DTW,Detroit, MI
57,14747,SEA,Seattle, WA
88,12478,JFK,New York, NY
119,14831,SJC,San Jose, CA
122,13930,ORD,Chicago, IL
153,14107,PHX,Phoenix, AZ
184,15016,STL,St. Louis, MO
239,12892,LAX,Los Angeles, CA
301,13204,MCO,Orlando, FL
332,11292,DEN,Denver, CO
363,13303,MIA,Miami, FL
394,12758,KOA,Kona, HI
517,12266,IAH,Houston, TX
614,10423,AUS,Austin, TX
736,12889,LAS,Las Vegas, NV
918,14869,SLC,Salt Lake City, UT
980,15376,TUS,Tucson, AZ
1001,15024,STT,Charlotte Amalie, VI
1013,10721,BOS,Boston, MA
1161,11697,FLL,Fort Lauderdale, FL
1255,14771,SFO,San Francisco, CA
1431,13830,OGG,Kahului, HI
1528,15304,TPA,Tampa, FL
1563,14908,SNA,Santa Ana, CA
1775,13851,OKC,Oklahoma City, OK
1868,12173,HNL,Honolulu, HI
2261,14100,PHL,Philadelphia, PA
2473,12953,LGA,New York, NY
2895,14492,RDU,Raleigh/Durham, NC
3023,11278,DCA,Washington, DC
3321,14524,RIC,Richmond, VA
3510,10397,ATL,Atlanta, GA
3703,12896,LBB,Lubbock, TX
3817,11057,CLT,Charlotte, NC
3909,11540,ELP,El Paso, TX
4171,14679,SAN,San Diego, CA
4456,10693,BNA,Nashville, TN
4870,12441,JAC,Jackson, WY
5325,14893,SMF,Sacramento, CA
5867,11618,EWR,Newark, NJ
5894,12264,IAD,Washington, DC
5953,12982,LIH,Lihue, HI
5996,14843,SJU,San Juan, PR
6153,10140,ABQ,Albuquerque, NM
6203,13931,ORF,Norfolk, VA
6920,12451,JAX,Jacksonville, FL
6951,13495,MSY,New Orleans, LA
7319,14683,SAT,San Antonio, TX
7481,13198,MCI,Kansas City, MO
7538,12012,GUC,Gunnison, CO
7565,12339,IND,Indianapolis, IN
9527,14057,PDX,Portland, OR
9660,10821,BWI,Baltimore, MD
9706,13487,MSP,Minneapolis, MN
10385,13342,MKE,Milwaukee, WI
10722,15370,TUL,Tulsa, OK
11267,13891,ONT,Ontario, CA
11523,14635,RSW,Fort Myers, FL
11703,14570,RNO,Reno, NV
11773,11423,DSM,Des Moines, IA
12142,13256,MFE,Mission/McAllen/Edinburg, TX
12364,14262,PSP,Palm Springs, CA
12892,13871,OMA,Omaha, NE
12997,11503,EGE,Eagle, CO
13283,14027,PBI,West Palm Beach/Palm Beach, FL
16211,14730,SDF,Louisville, KY
16263,14122,PIT,Pittsburgh, PA
16614,11638,FAT,Fresno, CA
17163,11267,DAY,Dayton, OH
17712,15027,STX,Christiansted, VI
19051,11109,COS,Colorado Springs, CO
20339,11066,CMH,Columbus, OH
22370,13502,MTJ,Montrose/Delta, CO
23850,12094,HDN,Hayden, CO
25759,10529,BDL,Hartford, CT
29343,13244,MEM,Memphis, TN
30128,11042,CLE,Cleveland, OH
34988,12191,HOU,Houston, TX
35392,10713,BOI,Boise, ID
35489,13796,OAK,Oakland, CA
35554,11884,GEG,Spokane, WA
35850,10299,ANC,Anchorage, AK
35874,10792,BUF,Buffalo, NY
35906,15096,SYR,Syracuse, NY
35946,10257,ALB,Albany, NY
37442,14307,PVD,Providence, RI
39172,14576,ROC,Rochester, NY
40853,12323,ILM,Wilmington, NC
41700,12278,ICT,Wichita, KS
42392,14321,PWM,Portland, ME
42468,11995,GSO,Greensboro/High Point, NC
42548,10994,CHS,Charleston, SC
43618,13230,MDT,Harrisburg, PA
50201,10599,BHM,Birmingham, AL
70100,10170,ADQ,Kodiak, AK
70102,10551,BET,Bethel, AK
70106,10754,BRW,Barrow, AK
70107,14709,SCC,Deadhorse, AK
70112,11630,FAI,Fairbanks, AK
70116,12523,JNU,Juneau, AK
70117,12819,KTN,Ketchikan, AK
70119,15991,YAK,Yakutat, AK
70120,10926,CDV,Cordova, AK
70126,14828,SIT,Sitka, AK
70127,14256,PSG,Petersburg, AK
70131,15841,WRG,Wrangell, AK
70192,13873,OME,Nome, AK
70193,13970,OTZ,Kotzebue, AK
70315,10800,BUR,Burbank, CA
70331,10666,BLI,Bellingham, WA
75518,10165,ADK,Adak Island, AK
84480,15070,SWF,Newburgh/Poughkeepsie, NY
84481,12954,LGB,Long Beach, CA
84582,14254,PSE,Ponce, PR
84617,10732,BQN,Aguadilla, PR
84648,12197,HPN,White Plains, NY
84662,14685,SAV,Savannah, GA
84704,14986,SRQ,Sarasota/Bradenton, FL
84925,10785,BTV,Burlington, VT
84961,13933,ORH,Worcester, MA
89882,11252,DAB,Daytona Beach, FL
107865,11193,CVG,Cincinnati, OH
107880,10627,BIS,Bismarck/Mandan, ND
107897,10431,AVL,Asheville, NC
107931,11986,GRR,Grand Rapids, MI
107938,11721,FNT,Flint, MI
107939,13577,MYR,Myrtle Beach, SC
107960,12448,JAN,Jackson/Vicksburg, MS
107964,10620,BIL,Billings, MT
107969,11637,FAR,Fargo, ND
108021,14193,PNS,Pensacola, FL
