,alpha,flight,l1_ratio
0,0.01,OGG|HNL|HA,1.0
1,0.01,HNL|OGG|HA,1.0
2,1e-06,KOA|HNL|HA,0.0
3,0.01,HNL|KOA|HA,1.0
4,0.0001,HNL|LIH|HA,1.0
5,0.01,LIH|HNL|HA,1.0
6,0.1,HOU|DAL|WN,0.0
7,0.1,DAL|HOU|WN,0.0
8,0.1,ATL|MCO|DL,0.0
9,0.01,MCO|ATL|DL,0.0
10,0.01,LGA|ATL|DL,0.0
11,0.1,ATL|LGA|DL,0.0
12,0.1,ATL|TPA|DL,0.0
13,0.01,TPA|ATL|DL,1.0
14,0.1,EWR|SFO|UA,0.0
15,0.1,ATL|FLL|DL,1.0
16,0.1,DFW|LAX|AA,0.0
17,0.01,FLL|ATL|DL,0.0
18,0.1,SFO|EWR|UA,0.0
19,0.1,LAX|DFW|AA,0.0
20,0.1,DFW|ORD|AA,0.0
21,0.1,ORD|DFW|AA,0.0
22,0.01,HNL|ITO|HA,0.0
23,1e-06,SEA|ANC|AS,1.0
24,0.01,ITO|HNL|HA,0.0
25,1e-06,ANC|SEA|AS,1.0
26,0.1,ATL|DCA|DL,0.0
27,0.1,DCA|ATL|DL,0.0
28,0.1,SFO|ORD|UA,0.0
29,0.01,MSY|ATL|DL,1.0
30,0.1,ATL|MSY|DL,0.0
31,0.1,ATL|JAX|DL,0.0
32,1e-06,JAX|ATL|DL,1.0
33,0.1,ORD|SFO|UA,0.0
34,0.01,LGA|ORD|AA,0.0
35,0.1,ORD|LGA|AA,0.0
36,0.1,ORD|MKE|OO,0.0
37,0.1,MKE|ORD|OO,0.0
38,0.1,LAX|SEA|AS,0.0
39,0.01,SEA|LAX|AS,0.0
40,0.1,ATL|MIA|DL,1.0
41,0.1,MIA|ATL|DL,0.5
42,0.1,RDU|ATL|DL,0.0
43,0.1,ATL|RDU|DL,0.0
44,0.1,DEN|SFO|UA,0.0
45,0.1,BOS|DCA|AA,0.0
46,0.1,DCA|BOS|AA,0.0
47,0.1,SFO|DEN|UA,0.0
48,0.1,EWR|LAX|UA,0.0
49,0.1,LAX|EWR|UA,0.0
50,0.1,DFW|SAT|AA,0.0
51,0.1,SAT|DFW|AA,0.0
52,0.1,OAK|LAX|WN,0.0
53,0.1,LAX|OAK|WN,0.0
54,0.1,AUS|DFW|AA,0.0
55,0.1,DFW|AUS|AA,0.0
56,0.1,LAX|SFO|UA,0.0
57,0.1,ORD|ATL|DL,0.0
58,0.1,ATL|ORD|DL,0.0
59,0.1,LAX|ORD|UA,0.0
60,0.1,SFO|LAX|UA,0.0
61,0.1,ATL|PBI|DL,0.5
62,0.001,PBI|ATL|DL,0.0
63,0.01,JFK|LAX|AA,0.0
64,0.1,DFW|ATL|DL,0.0
65,0.1,LAX|JFK|AA,0.0
66,0.01,ATL|DFW|DL,0.0
67,0.1,ATL|BOS|DL,0.0
68,0.1,BOS|ATL|DL,1.0
69,0.1,LAX|ATL|DL,0.5
70,0.1,ATL|LAX|DL,0.0
71,0.1,DFW|MIA|AA,0.0
72,0.01,ATL|MSP|DL,0.0
73,0.01,ATL|DTW|DL,1.0
74,1e-06,MSP|ATL|DL,1.0
75,1e-06,DTW|ATL|DL,0.0
76,0.1,ATL|BWI|DL,0.0
77,0.01,BWI|ATL|DL,1.0
78,0.1,IAH|LAX|UA,0.0
79,0.1,CLT|ATL|DL,0.0
80,0.1,ATL|CLT|DL,0.0
81,1e-06,BNA|ATL|DL,1.0
82,0.1,ATL|BNA|DL,0.0
83,0.1,LAX|IAH|UA,1.0
84,0.01,LGA|DFW|AA,0.0
85,0.1,LAX|SFO|DL,0.0
86,0.1,DFW|LGA|AA,0.0
87,0.1,SFO|LAX|DL,0.0
88,0.1,OAK|BUR|WN,0.0
89,0.1,BUR|OAK|WN,0.0
90,0.1,MIA|DFW|AA,0.0
91,0.1,MIA|LGA|AA,0.0
92,1e-06,PHL|ATL|DL,1.0
93,0.1,ATL|PHL|DL,0.0
94,0.1,DEN|IAH|UA,0.5
95,0.01,EWR|ATL|DL,0.0
96,0.1,ATL|EWR|DL,0.0
97,0.1,LGA|MIA|AA,0.5
98,0.1,ORD|LAX|UA,0.0
99,0.1,OAK|SAN|WN,0.0
100,0.1,SAN|OAK|WN,0.0
101,0.1,DFW|CLT|AA,0.0
102,0.1,DFW|PHX|AA,0.0
103,0.1,LGA|ORD|UA,0.0
104,0.1,PHX|DFW|AA,0.0
105,0.1,CLT|DFW|AA,0.0
106,0.1,ORD|IAH|UA,0.0
107,0.1,ORD|DEN|UA,0.0
108,0.1,LAX|LAS|WN,0.0
109,0.1,LAS|LAX|WN,0.0
110,0.01,ATL|CHS|DL,0.0
111,1e-06,CHS|ATL|DL,1.0
112,0.1,ORD|LGA|UA,0.0
113,0.1,IAH|DEN|UA,0.0
114,0.1,LAS|SAN|WN,0.0
115,0.1,SAN|LAS|WN,0.0
116,0.1,ATL|SAV|DL,0.0
117,0.1,IAH|ORD|UA,0.0
118,1e-06,SAV|ATL|DL,1.0
119,0.1,PHX|LAS|WN,0.0
120,0.01,MEM|ATL|DL,1.0
121,0.1,ATL|MEM|DL,0.0
122,0.1,LAS|PHX|WN,0.0
123,0.1,SJC|LAX|WN,0.5
124,0.1,SAN|PHX|WN,0.0
125,0.1,LAX|SJC|WN,0.0
126,0.1,DEN|ORD|UA,0.0
127,0.1,PHX|SAN|WN,0.0
128,0.1,ORD|EWR|UA,0.0
129,0.1,EWR|IAH|UA,0.0
130,0.1,DFW|SFO|AA,0.0
131,0.1,BOS|DCA|B6,0.5
132,0.1,SFO|DFW|AA,0.0
133,0.01,BHM|ATL|DL,0.0
134,0.1,ATL|BHM|DL,0.0
135,0.1,IAH|EWR|UA,0.0
136,0.1,ATL|RSW|DL,0.5
137,0.1,DCA|BOS|B6,0.0
138,1e-06,RSW|ATL|DL,1.0
139,0.1,PHL|BOS|AA,0.0
140,0.1,BOS|PHL|AA,0.0
141,0.1,PHX|DEN|WN,1.0
142,0.1,IAH|SFO|UA,0.0
143,0.1,DCA|LGA|AA,0.0
144,0.1,DEN|PHX|WN,0.0
145,0.1,LGA|DCA|AA,0.0
146,0.1,SFO|LAX|VX,0.0
147,0.1,BWI|FLL|WN,0.0
148,0.1,FLL|BWI|WN,0.0
149,0.1,LAX|SFO|VX,0.0
150,0.1,LAS|DFW|AA,0.0
151,0.1,SAT|DAL|WN,0.0
152,0.1,SFO|IAH|UA,0.0
153,0.1,DEN|DFW|AA,0.0
154,0.1,DFW|DEN|AA,0.0
155,0.1,DAL|SAT|WN,0.0
156,0.1,DFW|LAS|AA,0.0
157,0.01,LGA|BOS|AA,0.0
158,0.1,SJC|SAN|WN,0.0
159,0.1,SAN|SJC|WN,0.0
160,0.1,BOS|LGA|AA,0.0
161,0.1,ORD|LAX|AA,0.0
162,0.1,LAX|ORD|AA,0.0
163,0.1,MIA|ORD|AA,0.0
164,0.1,LAS|BUR|WN,0.0
165,0.1,DFW|MCO|AA,0.0
166,0.1,BUR|LAS|WN,0.0
167,0.1,ORD|MIA|AA,0.0
168,0.1,MCO|BWI|WN,0.0
169,0.1,MCO|DFW|AA,0.0
170,0.1,RNO|LAS|WN,0.0
171,0.1,AUS|DAL|WN,0.0
172,0.1,LAS|RNO|WN,0.0
173,0.1,BWI|MCO|WN,0.0
174,0.1,ORD|BOS|AA,0.0
175,0.1,DAL|AUS|WN,0.0
176,1e-06,JFK|LAX|DL,1.0
177,0.1,HOU|MSY|WN,0.0
178,0.1,EWR|MCO|UA,0.0
179,0.1,LAX|JFK|DL,0.0
180,0.1,DCA|MIA|AA,0.0
181,0.1,MSY|HOU|WN,0.0
182,0.1,MCO|EWR|UA,0.0
183,0.1,LGA|CLT|AA,0.5
184,0.1,MIA|DCA|AA,0.0
185,0.1,CLT|LGA|AA,0.0
186,0.1,DFW|SAN|AA,0.0
187,0.1,MCO|MIA|AA,0.0
188,0.01,JFK|LAX|B6,0.0
189,0.1,LAX|JFK|B6,0.0
190,0.01,IND|ATL|DL,0.0
191,0.1,ATL|IND|DL,0.0
192,0.01,BOS|ORD|AA,0.0
193,0.1,SAN|DFW|AA,0.0
194,0.1,MIA|MCO|AA,0.0
195,1e-06,IAD|SFO|UA,1.0
196,0.01,RIC|ATL|DL,1.0
197,0.1,DFW|DCA|AA,0.0
198,0.1,ATL|RIC|DL,0.0
199,0.1,CLT|PHL|AA,0.0
200,0.1,DFW|PHL|AA,0.0
201,0.1,SAN|SMF|WN,0.0
202,0.1,PHL|DFW|AA,0.0
203,0.1,SMF|SAN|WN,0.0
204,0.1,BOS|BWI|WN,0.0
205,0.1,ATL|ORF|DL,0.0
206,0.1,ORF|ATL|DL,1.0
207,0.1,EWR|ORD|UA,0.0
208,0.1,LAS|DEN|WN,0.0
209,0.1,DCA|DFW|AA,0.0
210,0.1,BWI|BOS|WN,0.0
211,0.01,ATL|SDF|DL,1.0
212,0.001,SDF|ATL|DL,1.0
213,0.1,DEN|LAS|WN,0.0
214,0.1,CLT|EWR|AA,0.0
215,0.1,EWR|CLT|AA,0.0
216,0.1,PHX|LAX|WN,0.0
217,0.1,ORD|PHX|AA,0.0
218,0.1,PHX|ORD|AA,0.0
219,0.1,LAX|PHX|WN,0.0
220,0.1,SJC|LAS|WN,0.0
221,0.1,OAK|LAS|WN,0.0
222,0.1,LAS|SJC|WN,0.0
223,0.1,LAS|OAK|WN,0.0
224,1e-06,MDW|DEN|WN,0.0
225,0.01,BOS|EWR|UA,0.0
226,0.1,LGA|DTW|DL,0.0
227,0.1,DFW|SNA|AA,0.5
228,0.1,SNA|DFW|AA,0.0
229,0.1,DTW|LGA|DL,0.0
230,0.1,ATL|PIT|DL,0.0
231,0.1,CLT|ORD|AA,0.0
232,0.01,SEA|LAS|AS,1.0
233,1e-06,PIT|ATL|DL,1.0
234,0.01,ATL|MCI|DL,0.0
235,1e-06,LAS|SEA|AS,1.0
236,1e-06,MCI|ATL|DL,1.0
237,0.1,MCO|JFK|B6,0.0
238,0.1,JFK|MCO|B6,0.0
239,0.1,SFO|LAX|WN,0.0
240,0.1,CLT|MCO|AA,0.0
241,0.1,EWR|BOS|UA,0.0
242,0.1,MCO|CLT|AA,0.0
243,0.1,CLT|BOS|AA,0.0
244,0.1,SMF|LAX|WN,0.0
245,0.1,ORD|CLT|AA,0.0
246,0.01,CMH|ATL|DL,1.0
247,0.1,DEN|MDW|WN,1.0
248,0.1,ATL|CMH|DL,1.0
249,1e-06,MDW|LAS|WN,1.0
